Biomarker,Mean_Absolute_SHAP
mean_fix_dur_trial_T5,0.23747033733538372
ratio_progress_regress_trial_T4,0.1819817048260784
mean_fix_dur_trial_T1,0.17531660552009956
n_within_line_regress_trial_T4,0.1747273557474569
n_regress_trial_T4,0.1747273557474569
n_transit_trial_T4,0.15877853943644787
n_revisits_aoi_T4,0.15358311032420774
mean_fix_dur_trial_T4,0.14772810715152498
sum_fix_dur_trial_T1,0.14163797686604018
dwell_time_trial_T1,0.1399583402769904
mean_sacc_dur_trial_T5,0.1391628453515876
n_progress_trial_T4,0.12477078202327303
sum_fix_dur_trial_T5,0.11323653668594026
dwell_time_trial_T5,0.11240908942135262
n_fix_trial_T4,0.11147940966296913
n_sacc_trial_T4,0.11147940966296913
n_fix_trial_T1,0.1071615172317674
n_sacc_trial_T1,0.1071615172317674
sum_fix_dur_trial_T4,0.0993668314916711
dwell_time_trial_T4,0.09790740989751084
mean_sacc_ampl_trial_T4,0.09690723263362849
mean_sacc_dur_trial_T1,0.0889198195909713
ratio_progress_regress_trial_T1,0.0876744550903111
sum_sacc_dur_trial_T1,0.08275272768571976
sum_sacc_dur_trial_T5,0.06917766460225755
sum_sacc_dur_trial_T4,0.06823189805229002
ratio_progress_regress_trial_T5,0.06741497847283699
n_progress_trial_T1,0.06021460856987572
n_transit_trial_T1,0.04738540617126665
n_fix_trial_T5,0.036199876212553675
n_sacc_trial_T5,0.036199876212553675
n_revisits_aoi_T1,0.03181630162799397
n_within_line_regress_trial_T1,0.031292442124945724
n_regress_trial_T1,0.031292442124945724
mean_sacc_ampl_trial_T1,0.029749228827735053
mean_sacc_ampl_trial_T5,0.02675577287321553
n_within_line_regress_trial_T5,0.02325128837761317
n_regress_trial_T5,0.02325128837761317
n_revisits_aoi_T5,0.021717000480100224
n_transit_trial_T5,0.02033693693867111
n_progress_trial_T5,0.01706159694246173
mean_sacc_dur_trial_T4,0.004099962516335902
n_between_line_regress_trial_T1,0.0
n_between_line_regress_trial_T4,0.0
n_between_line_regress_trial_T5,0.0
